name,pointx_class,lat,lon,poi_class,Entertainment,Gambling,Sports
English Touring Theatre,4210273.0,51.502866023105454,-0.1070173668093044,Entertainment,1,0,0
John Kent,4230321.0,51.30974549442975,-0.1507601996339948,Sports,0,0,1
The Royal British Legion,4250314.0,51.42764218664975,-0.3274439515060574,Entertainment,1,0,0
Legionaire Club Willesden,4250314.0,51.55032919485826,-0.2399093787282687,Entertainment,1,0,0
Southgate Leisure Centre,4240293.0,51.63438329455799,-0.1245371311494256,Sports,0,0,1
South London Irish Association Centre,4250314.0,51.41676708740399,-0.2027483074590431,Entertainment,1,0,0
Club Aquarium,4250312.0,51.52589231827654,-0.0851879749927299,Entertainment,1,0,0
Penge Conservative Club,4250314.0,51.4113180138253,-0.0546614371369364,Entertainment,1,0,0
St Georges Swimming Pool,4240304.0,51.509891283717735,-0.0581896430741366,Sports,0,0,1
Pedham Place Golf Centre,4240292.0,51.38402509268233,0.1979348975638919,Sports,0,0,1
Cricklewood Trades Hall,4250314.0,51.56007732976309,-0.209036456317455,Entertainment,1,0,0
St Antony's Catholic Club,4250314.0,51.54169526151557,0.0244277730015694,Entertainment,1,0,0
Becket Sports Centre,4240293.0,51.444488761030925,0.2054654483202246,Sports,0,0,1
Regents Park Tennis & Cafe,4240305.0,51.52577810145885,-0.15264539623067,Sports,0,0,1
Sporting Affair Ltd,4210273.0,51.42793333675115,-0.318943384788492,Entertainment,1,0,0
Old Fold Manor Golf Club,4240292.0,51.66519257051337,-0.2043158858417874,Sports,0,0,1
Ponders End Working Mens Social Club,4250314.0,51.643979298726045,-0.0441405691856278,Entertainment,1,0,0
Tooting Progressive Working Men's Club,4250314.0,51.42255308887631,-0.1601046971479561,Entertainment,1,0,0
College Racing Beckenham Ltd,4220279.0,51.392007612787694,-0.038303670532412,Gambling,0,1,0
The Granaries,4250312.0,51.37274400217762,-0.102225605348111,Entertainment,1,0,0
Balham Leisure Centre,4240293.0,51.441206711036855,-0.152289990727684,Sports,0,0,1
Southborough Lane Stables,4230321.0,51.39133091103163,0.0587921759130848,Sports,0,0,1
Soho Gyms,4240293.0,51.46280563054602,-0.1340416105511616,Sports,0,0,1
Soho Gyms,4240293.0,51.515749582171104,-0.1225103833357053,Sports,0,0,1
Byfleet Village Club,4250314.0,51.33860319138883,-0.4775243604972735,Entertainment,1,0,0
Tooting Conservative & Unionist Club Ltd,4250314.0,51.42725779890845,-0.1659430003198799,Entertainment,1,0,0
Sports Ground Harlington,4240302.0,51.49000998494932,-0.4419785300209449,Sports,0,0,1
Staines Conservative Club,4250314.0,51.43299449259843,-0.5138644863298494,Entertainment,1,0,0
Hampstead Golf Club,4240292.0,51.5759146987019,-0.1782515907845514,Sports,0,0,1
Pegasus Opera Co,4210273.0,51.46387475420309,-0.115426521124415,Entertainment,1,0,0
Plumstead Common Working Men's Club,4250314.0,51.47878649170909,0.0900956373592,Entertainment,1,0,0
St Ediths Club,4250314.0,51.30605086939864,0.2306012025830731,Entertainment,1,0,0
Polka Theatre,4210273.0,51.419731576522864,-0.1950006820167338,Entertainment,1,0,0
Aveley Village Social Club Ltd,4250314.0,51.49967592681256,0.2520749408504097,Entertainment,1,0,0
Sidcup Conservative Club,4250314.0,51.41976556508308,0.1099069438825624,Entertainment,1,0,0
Pools on the Park,4240304.0,51.466280733029016,-0.3019815225285776,Sports,0,0,1
National Reserve & Social Club,4250314.0,51.371123187350754,-0.4938010921106578,Entertainment,1,0,0
New Eltham Conservative Club,4250314.0,51.43581932132375,0.0684608102755483,Entertainment,1,0,0
The Royal British Legion,4250314.0,51.36046827683754,-0.2183112542652018,Entertainment,1,0,0
Howard Robbins Toastmaster,4210273.0,51.58455135365205,0.0704599092264595,Entertainment,1,0,0
The Royal British Legion,4250314.0,51.659982382123566,-0.2690482427835446,Entertainment,1,0,0
The National Liberal Club,4250314.0,51.506041039749206,-0.1238461238902197,Entertainment,1,0,0
Nuffield Fitness & Wellbeing Centres,4240293.0,51.5255315189025,-0.0794554420719371,Sports,0,0,1
Kings Club,4240293.0,51.42167650810342,-0.2259699138741548,Sports,0,0,1
Kids,4210271.0,51.56967767663847,-0.0545651296863212,Entertainment,1,0,0
Campsbourne Play Centre,4210271.0,51.59176396684674,-0.1192045339454545,Entertainment,1,0,0
Johnny Lawrence Ginger,4210273.0,51.5689175249704,0.1923382382422183,Entertainment,1,0,0
Mastercat Productions Ltd,4210273.0,51.56790573838777,-0.1337673432817754,Entertainment,1,0,0
Chessington Equestrian Centre,4230321.0,51.37196813055295,-0.3167124636515778,Sports,0,0,1
Chertsey Soldiers & Sailors Club,4250314.0,51.39005277939582,-0.5046720370900466,Entertainment,1,0,0
Chertsey Social Club,4250314.0,51.38902151784091,-0.5095548837941706,Entertainment,1,0,0
Carshalton Social Club,4250314.0,51.36860043997507,-0.165471864566497,Entertainment,1,0,0
Joysons Hill Stables,4230321.0,51.30522978153782,-0.0819193653911782,Sports,0,0,1
The Boat Harbour London Ltd,4230287.0,51.372110925077735,-0.2081037861803966,Sports,0,0,1
Kingsmead Equestrian Centre,4230321.0,51.32236323280152,-0.0574948033090359,Sports,0,0,1
Kingston University Sports Ground,4240302.0,51.37721152169276,-0.2777813845778513,Sports,0,0,1
The King's Club,4240293.0,51.42040879207837,-0.227530615441809,Sports,0,0,1
Chelsfield Lake Golf Centre,4240292.0,51.34925085082288,0.1283366163705675,Sports,0,0,1
O2 Academy Brixton,4250315.0,51.46565064164619,-0.1151373974001561,Entertainment,1,0,0
New Haw Club & Institute,4250314.0,51.35530331524444,-0.488733189273745,Entertainment,1,0,0
J L A,4210273.0,51.51732039422917,-0.1364267314969862,Entertainment,1,0,0
Golden Lane Sport & Fitness,4240293.0,51.52258776767942,-0.0965271160118876,Sports,0,0,1
Bushey Grove Leisure Centre,4240293.0,51.6556230958098,-0.3736073381497498,Sports,0,0,1
The in & Out Club,4250314.0,51.508094510225874,-0.1347569277178957,Entertainment,1,0,0
Clown Town,4210271.0,51.60804001087903,-0.1543135845616491,Entertainment,1,0,0
Face Painting Fairies,4210273.0,51.47605764041416,-0.1248318631055776,Entertainment,1,0,0
Birchwood Park Golf & Country Club,4240292.0,51.41367449252498,0.1594286045461003,Sports,0,0,1
Muscle Limit Gym,4240293.0,51.65861631192582,-0.0278519977258095,Sports,0,0,1
Langley Park Golf Club,4240292.0,51.38781842083013,-0.0074807441915242,Sports,0,0,1
Kidzmania,4210271.0,51.55720439904243,-0.0567521227244668,Entertainment,1,0,0
Catlips Farm Livery Stables,4230321.0,51.6468524291969,-0.5048762440106727,Sports,0,0,1
Kenneth Moore Theatre,4250315.0,51.55867634363264,0.0752138599175959,Entertainment,1,0,0
Central Ward Residents Club,4250314.0,51.39894923404666,-0.2072132897110835,Entertainment,1,0,0
Charing Cross Sports Club,4240293.0,51.48562944582379,-0.219687997656503,Sports,0,0,1
