"name","pointx_class","lat","lon","poi_class","Entertainment","Gambling","Sports","id"
"Molesey Boat Club",4230287,51.4071531555504,-0.351323415448818,"Sports",0,0,1,67
"Origin Corporate Events",4210273,51.4699244373272,-0.190048660099458,"Entertainment",1,0,0,68
"Pinner Green Social Club Ltd",4250314,51.59980179928,-0.401217105729256,"Entertainment",1,0,0,69
"Pinner Bridge Club",4250314,51.5902418055335,-0.380129754421664,"Entertainment",1,0,0,70
"Namco Fun Scape",4240290,51.5746769424282,0.180058001194608,"Sports",0,0,1,71
"Pentameters Theatre",4250315,51.5559918400179,-0.178469278183644,"Entertainment",1,0,0,72
"The Peacock Theatre",4250315,51.5146254379152,-0.118016666400976,"Entertainment",1,0,0,73
"Paramount International Management Ltd",4210273,51.5230901572927,-0.163003325996848,"Entertainment",1,0,0,74
"Panic Music Studios",4250315,51.526390876825,-0.26887172363788,"Entertainment",1,0,0,75
"Optimum Gym",4240293,51.5746552206872,-0.414798833268723,"Sports",0,0,1,76
"Old Mill Equestrian Centre",4230321,51.4133695384384,0.211459885992367,"Sports",0,0,1,77
"Old Finchleians Club",4250314,51.6185079490155,-0.190292559111772,"Entertainment",1,0,0,78
"Old Chigwellians Clubhouse",4250314,51.6284889605497,0.0740493733428003,"Entertainment",1,0,0,79
"Oxhey Conservative Club",4250314,51.6453032313679,-0.379614945342003,"Entertainment",1,0,0,80
"Park Crescent Conference Centre",4250762,51.5235683559321,-0.144820838338,"Entertainment",1,0,0,81
"The New Eltham Social Club",4250314,51.4386365182432,0.0746832436948069,"Entertainment",1,0,0,82
"Paul's Race Nights",4210273,51.471188685756,0.0932574292950088,"Entertainment",1,0,0,83
"Over 21 Club",4250314,51.3428111917841,-0.0213941963686255,"Entertainment",1,0,0,84
"Shootershill Sports & Social Club",4250314,51.4664511687992,0.0441863809448196,"Entertainment",1,0,0,85
"Oxshott Club",4250314,51.3310091082276,-0.363170941253391,"Entertainment",1,0,0,86
"The Old Cranleighan Club",4250314,51.3822944428054,-0.341510790907835,"Entertainment",1,0,0,87
"Bushy Park Sports Club",4250314,51.4212719859909,-0.335595637528735,"Entertainment",1,0,0,88
"Pavilion Sports & Cafe",4240305,51.6025543724345,-0.133482064626502,"Sports",0,0,1,89
"Mahiki",4250312,51.5077664893045,-0.141283784395298,"Entertainment",1,0,0,90
"Grosvenor Casinos",4220280,51.5017725492025,-0.158872504108025,"Gambling",0,1,0,91
"Swan Bar & Entertainment Ltd",4250312,51.4720362415587,-0.122476927273152,"Entertainment",1,0,0,92
"Piccadilly Theatre",4250315,51.5110542789347,-0.135399840982257,"Entertainment",1,0,0,93
"Done Our Bit Club",4250314,51.5476522955741,-0.197451086788126,"Entertainment",1,0,0,94
"Thames Motor Yacht Club",4230287,51.4050646709818,-0.342239973622877,"Sports",0,0,1,95
"Spelthorne Leisure Centre",4240293,51.4301784922312,-0.501742756986868,"Sports",0,0,1,96
"Prince of Wales Theatre",4250315,51.5099987754069,-0.131796947675443,"Entertainment",1,0,0,97
"United Talent Agency",4210273,51.5314805081534,-0.103134444968187,"Entertainment",1,0,0,98
"The Athenaeum",4250314,51.5068393238035,-0.132733144502863,"Entertainment",1,0,0,99
"Sidcup & Foots Cray United Services Club",4250314,51.4261961293438,0.0993568118640851,"Entertainment",1,0,0,100
"Slade Green Railway Club",4250314,51.4678410464263,0.190350109420748,"Entertainment",1,0,0,101
"Achieve Lifestyle",4240293,51.3701715121803,-0.503745174094379,"Sports",0,0,1,102
"St Alban's Centre",4250762,51.5198269140161,-0.110422193492689,"Entertainment",1,0,0,103
"The Pleasance Theatre",4250315,51.5487660597973,-0.121699530200264,"Entertainment",1,0,0,104
"Staines & Egham Sea Cadets",4250314,51.4359250595158,-0.522329690810794,"Entertainment",1,0,0,105
"English Touring Theatre",4210273,51.5028660231055,-0.107017366809304,"Entertainment",1,0,0,106
"John Kent",4230321,51.3097454944297,-0.150760199633995,"Sports",0,0,1,107
"The Royal British Legion",4250314,51.4276421866497,-0.327443951506057,"Entertainment",1,0,0,108
"Legionaire Club Willesden",4250314,51.5503291948583,-0.239909378728269,"Entertainment",1,0,0,109
"Southgate Leisure Centre",4240293,51.634383294558,-0.124537131149426,"Sports",0,0,1,110
"South London Irish Association Centre",4250314,51.416767087404,-0.202748307459043,"Entertainment",1,0,0,111
"Club Aquarium",4250312,51.5258923182765,-0.0851879749927299,"Entertainment",1,0,0,112
"Penge Conservative Club",4250314,51.4113180138253,-0.0546614371369364,"Entertainment",1,0,0,113
"St Georges Swimming Pool",4240304,51.5098912837177,-0.0581896430741366,"Sports",0,0,1,114
"Pedham Place Golf Centre",4240292,51.3840250926823,0.197934897563892,"Sports",0,0,1,115
"Cricklewood Trades Hall",4250314,51.5600773297631,-0.209036456317455,"Entertainment",1,0,0,116
"St Antony's Catholic Club",4250314,51.5416952615156,0.0244277730015694,"Entertainment",1,0,0,117
"Becket Sports Centre",4240293,51.4444887610309,0.205465448320225,"Sports",0,0,1,118
"Regents Park Tennis & Cafe",4240305,51.5257781014588,-0.15264539623067,"Sports",0,0,1,119
"Sporting Affair Ltd",4210273,51.4279333367512,-0.318943384788492,"Entertainment",1,0,0,120
"Old Fold Manor Golf Club",4240292,51.6651925705134,-0.204315885841787,"Sports",0,0,1,121
"Ponders End Working Mens Social Club",4250314,51.643979298726,-0.0441405691856278,"Entertainment",1,0,0,122
"Tooting Progressive Working Men's Club",4250314,51.4225530888763,-0.160104697147956,"Entertainment",1,0,0,123
"College Racing Beckenham Ltd",4220279,51.3920076127877,-0.038303670532412,"Gambling",0,1,0,124
"The Granaries",4250312,51.3727440021776,-0.102225605348111,"Entertainment",1,0,0,125
"Balham Leisure Centre",4240293,51.4412067110369,-0.152289990727684,"Sports",0,0,1,126
"Southborough Lane Stables",4230321,51.3913309110316,0.0587921759130848,"Sports",0,0,1,127
"Soho Gyms",4240293,51.462805630546,-0.134041610551162,"Sports",0,0,1,128
"Soho Gyms",4240293,51.5157495821711,-0.122510383335705,"Sports",0,0,1,129
"Byfleet Village Club",4250314,51.3386031913888,-0.477524360497273,"Entertainment",1,0,0,130
"Tooting Conservative & Unionist Club Ltd",4250314,51.4272577989084,-0.16594300031988,"Entertainment",1,0,0,131
"Sports Ground Harlington",4240302,51.4900099849493,-0.441978530020945,"Sports",0,0,1,132
"Staines Conservative Club",4250314,51.4329944925984,-0.513864486329849,"Entertainment",1,0,0,133
"Hampstead Golf Club",4240292,51.5759146987019,-0.178251590784551,"Sports",0,0,1,134
"Pegasus Opera Co",4210273,51.4638747542031,-0.115426521124415,"Entertainment",1,0,0,135
"Plumstead Common Working Men's Club",4250314,51.4787864917091,0.0900956373592,"Entertainment",1,0,0,136
"St Ediths Club",4250314,51.3060508693986,0.230601202583073,"Entertainment",1,0,0,137
"Polka Theatre",4210273,51.4197315765229,-0.195000682016734,"Entertainment",1,0,0,138
"Aveley Village Social Club Ltd",4250314,51.4996759268126,0.25207494085041,"Entertainment",1,0,0,139
"Sidcup Conservative Club",4250314,51.4197655650831,0.109906943882562,"Entertainment",1,0,0,140
"Pools on the Park",4240304,51.466280733029,-0.301981522528578,"Sports",0,0,1,141
"National Reserve & Social Club",4250314,51.3711231873508,-0.493801092110658,"Entertainment",1,0,0,142
"New Eltham Conservative Club",4250314,51.4358193213237,0.0684608102755483,"Entertainment",1,0,0,143
"The Royal British Legion",4250314,51.3604682768375,-0.218311254265202,"Entertainment",1,0,0,144
"Howard Robbins Toastmaster",4210273,51.5845513536521,0.0704599092264595,"Entertainment",1,0,0,145
"The Royal British Legion",4250314,51.6599823821236,-0.269048242783545,"Entertainment",1,0,0,146
"The National Liberal Club",4250314,51.5060410397492,-0.12384612389022,"Entertainment",1,0,0,147
"Nuffield Fitness & Wellbeing Centres",4240293,51.5255315189025,-0.0794554420719371,"Sports",0,0,1,148
"Kings Club",4240293,51.4216765081034,-0.225969913874155,"Sports",0,0,1,149
"Kids",4210271,51.5696776766385,-0.0545651296863212,"Entertainment",1,0,0,150
"Campsbourne Play Centre",4210271,51.5917639668467,-0.119204533945454,"Entertainment",1,0,0,151
"Johnny Lawrence Ginger",4210273,51.5689175249704,0.192338238242218,"Entertainment",1,0,0,152
"Mastercat Productions Ltd",4210273,51.5679057383878,-0.133767343281775,"Entertainment",1,0,0,153
"Chessington Equestrian Centre",4230321,51.371968130553,-0.316712463651578,"Sports",0,0,1,154
"Chertsey Soldiers & Sailors Club",4250314,51.3900527793958,-0.504672037090047,"Entertainment",1,0,0,155
"Chertsey Social Club",4250314,51.3890215178409,-0.509554883794171,"Entertainment",1,0,0,156
"Carshalton Social Club",4250314,51.3686004399751,-0.165471864566497,"Entertainment",1,0,0,157
"Joysons Hill Stables",4230321,51.3052297815378,-0.0819193653911782,"Sports",0,0,1,158
"The Boat Harbour London Ltd",4230287,51.3721109250777,-0.208103786180397,"Sports",0,0,1,159
"Kingsmead Equestrian Centre",4230321,51.3223632328015,-0.0574948033090359,"Sports",0,0,1,160
"Kingston University Sports Ground",4240302,51.3772115216928,-0.277781384577851,"Sports",0,0,1,161
"The King's Club",4240293,51.4204087920784,-0.227530615441809,"Sports",0,0,1,162
"Chelsfield Lake Golf Centre",4240292,51.3492508508229,0.128336616370568,"Sports",0,0,1,163
"O2 Academy Brixton",4250315,51.4656506416462,-0.115137397400156,"Entertainment",1,0,0,164
"New Haw Club & Institute",4250314,51.3553033152444,-0.488733189273745,"Entertainment",1,0,0,165
"J L A",4210273,51.5173203942292,-0.136426731496986,"Entertainment",1,0,0,166
"Golden Lane Sport & Fitness",4240293,51.5225877676794,-0.0965271160118876,"Sports",0,0,1,167
"Bushey Grove Leisure Centre",4240293,51.6556230958098,-0.37360733814975,"Sports",0,0,1,168
"The in & Out Club",4250314,51.5080945102259,-0.134756927717896,"Entertainment",1,0,0,169
"Clown Town",4210271,51.608040010879,-0.154313584561649,"Entertainment",1,0,0,170
"Face Painting Fairies",4210273,51.4760576404142,-0.124831863105578,"Entertainment",1,0,0,171
"Birchwood Park Golf & Country Club",4240292,51.413674492525,0.1594286045461,"Sports",0,0,1,172
"Muscle Limit Gym",4240293,51.6586163119258,-0.0278519977258095,"Sports",0,0,1,173
"Langley Park Golf Club",4240292,51.3878184208301,-0.0074807441915242,"Sports",0,0,1,174
"Kidzmania",4210271,51.5572043990424,-0.0567521227244668,"Entertainment",1,0,0,175
"Catlips Farm Livery Stables",4230321,51.6468524291969,-0.504876244010673,"Sports",0,0,1,176
"Kenneth Moore Theatre",4250315,51.5586763436326,0.0752138599175959,"Entertainment",1,0,0,177
"Central Ward Residents Club",4250314,51.3989492340467,-0.207213289711083,"Entertainment",1,0,0,178
"Charing Cross Sports Club",4240293,51.4856294458238,-0.219687997656503,"Sports",0,0,1,179
"The Comedy Store Ltd",4250315,51.5101519660254,-0.132381534969564,"Entertainment",1,0,0,180
"Awesome C I C",4210271,51.5477543253383,-0.0823952093267446,"Entertainment",1,0,0,181
"Goulds Green Riding School",4230321,51.5179099484173,-0.445220922621162,"Sports",0,0,1,182
"Weir Archer Athletics & Fitness Centre",4240293,51.4050153006848,-0.283221436409059,"Sports",0,0,1,183
"Afro Caribbean Centre",4250314,51.5282989927682,0.0325846307568524,"Entertainment",1,0,0,184
"Theatre Peckham",4210273,51.4744444313163,-0.0829080171841497,"Entertainment",1,0,0,185
"Heston Catholic Social Club",4250314,51.4882505693887,-0.373001588117604,"Entertainment",1,0,0,186
"Ability Bow Within St Pauls Church",4240293,51.5331137679031,-0.0325026513650836,"Sports",0,0,1,187
"The Venue",4250312,51.4759435532229,-0.0367724625584822,"Entertainment",1,0,0,188
"Cameron Mackintosh",4210273,51.5190285828896,-0.128608103878325,"Entertainment",1,0,0,189
"London Bubble Theatre Company",4210273,51.5004819265067,-0.0552901613328082,"Entertainment",1,0,0,190
"Sudbury Golf Club Ltd",4240292,51.5477773337987,-0.312885816832085,"Sports",0,0,1,191
"St Peter's Italian Catholic Social Club",4250314,51.5221852001392,-0.109445264773619,"Entertainment",1,0,0,192
"Kruger Cowne",4210273,51.4793607820757,-0.179219800937057,"Entertainment",1,0,0,193
"Olympian Fitness",4240293,51.5098920030976,-0.399452325688449,"Sports",0,0,1,194
